"","doy","minT","maxT","airT","co2","swr","vpd","precip","windspd","year","order"
"1",7,0.688571428571429,3.46714285714286,1.90532738095238,375.321648809524,1.76687794285714,0.0442946428571429,8.92857142857143e-06,3.82159523809524,2000,1
"2",14,-2.43428571428571,0.631428571428571,-0.62327380952381,378.907886904762,2.45359208571429,0.0584625,1.48809523809524e-06,2.91092261904762,2000,2
"3",21,-1.74142857142857,1.73285714285714,0.136636904761905,378.994145833333,1.79175728571429,0.0593901785714286,2.29828042328042e-05,4.36436904761905,2000,3
"4",28,-7.19142857142857,-2.79,-5.1264880952381,382.213517857143,3.22076237142857,0.0392110119047619,1.10780423280423e-05,3.466375,2000,4
"5",35,2.72,5.84285714285714,4.18756845238095,379.262360119048,2.18568162857143,0.0944666666666667,6.0515873015873e-05,5.44415773809524,2000,5
"6",42,2.80285714285714,7.48428571428571,4.90845238095238,374.786705357143,4.91423785714286,0.192944047619048,1.50462962962963e-05,4.82321726190476,2000,6
"7",49,-1.12714285714286,2.22714285714286,0.547202380952381,373.276577380952,3.86524028571429,0.0646467261904762,4.48082010582011e-05,4.13684523809524,2000,7
"8",56,-1.27285714285714,2.55857142857143,0.271071428571429,377.330032738095,4.07368182857143,0.0447068452380952,5.19179894179894e-05,3.26439583333333,2000,8
"9",63,0.8,6.6,3.49452380952381,368.7214375,7.55192442857143,0.166722916666667,3.125e-05,4.59588095238095,2000,9
"10",70,1.12142857142857,5.26571428571429,3.2403869047619,367.985005952381,6.70923668571429,0.123569047619048,5.39021164021164e-05,5.14690773809524,2000,10
"11",77,1.41571428571429,5.93028571428571,3.92208035714286,370.970375,5.82909942857143,0.134207738095238,4.18320105820106e-05,4.22263988095238,2000,11
"12",84,2.59142857142857,9.69857142857143,5.88345238095238,373.872101190476,11.5669761428571,0.287284821428571,2.95965608465608e-05,2.3396994047619,2000,12
"13",91,2.39571428571429,6.26285714285714,4.14991071428571,372.205380952381,4.83359785714286,0.0916196428571429,2.69510582010582e-05,3.02174702380952,2000,13
"14",98,1.78857142857143,10.1357142857143,5.94675595238095,370.4339375,14.9813781428571,0.321456845238095,1.15740740740741e-05,2.74225892857143,2000,14
"15",105,1.93,8.46,5.20240773809524,371.103863095238,13.5195060857143,0.2725875,1.47156084656085e-05,3.0604494047619,2000,15
"16",112,7.41857142857143,14.3071428571429,10.4289880952381,370.525791666667,13.7238924857143,0.442361904761905,1.66997354497355e-05,2.83510714285714,2000,16
"17",119,10.3885714285714,19.6757142857143,15.2814285714286,377.370794642857,17.5787331428571,0.7394375,1.32275132275132e-06,2.64969345238095,2000,17
"18",126,11.5914285714286,18.4685714285714,14.7216369047619,381.541080357143,18.0578859428571,0.500890178571429,1.24007936507937e-05,2.32383630952381,2000,18
"19",133,13.2028571428571,20.61,17.1409226190476,371.956491071429,23.3228118857143,0.770483630952381,1.81878306878307e-06,2.70709226190476,2000,19
"20",140,10.7157142857143,19.3285714285714,15.2628571428571,363.724139880952,22.5896364,0.902919047619048,9.92063492063492e-06,2.86535714285714,2000,20
"21",147,7.11857142857143,13.9614285714286,10.621369047619,369.83755952381,15.8910711428571,0.288480654761905,2.9265873015873e-05,3.11779761904762,2000,21
"22",154,7.97285714285714,15.7271428571429,11.982380952381,369.506494047619,18.8048648571429,0.504613095238095,1.62037037037037e-05,3.41841666666667,2000,22
"23",161,11.8085714285714,19.5328571428571,15.338005952381,367.154205357143,18.9709187142857,0.425421130952381,6.77910052910053e-05,2.6453005952381,2000,23
"24",168,13.0028571428571,20.3742857142857,16.7831547619048,363.506636904762,21.1482218571429,0.612158333333333,2.24867724867725e-05,2.69431845238095,2000,24
"25",175,15.3771428571429,23.99,20.1100595238095,352.298151785714,25.3199044285714,1.44665744047619,1.65343915343915e-06,2.7448244047619,2000,25
"26",182,7.80857142857143,13.5528571428571,10.5216369047619,365.369979166667,18.1372407428571,0.389969345238095,8.5978835978836e-06,3.23371726190476,2000,26
"27",189,12.0171428571429,18.3628571428571,14.8309226190476,363.566068452381,13.4429829428571,0.260755952380952,6.63029100529101e-05,2.94841071428571,2000,27
"28",196,8.87,13.6457142857143,11.17875,361.887770833333,12.4096654285714,0.21631755952381,4.31547619047619e-05,3.8365625,2000,28
"29",203,9.16,14.5442857142857,11.7180952380952,360.682077380952,13.7250455142857,0.275575892857143,3.47222222222222e-06,3.10621428571429,2000,29
"30",210,12.0328571428571,17.7342857142857,14.6983333333333,365.424913690476,13.6206655714286,0.293533035714286,1.12433862433862e-05,2.78936011904762,2000,30
"31",217,12.5014285714286,19.9,16.035744047619,363.858755952381,17.9633949428571,0.513909226190476,1.5542328042328e-05,3.05921428571429,2000,31
"32",224,13.4928571428571,19.8014285714286,16.4205952380952,362.994017857143,16.7542032857143,0.510772916666667,8.92857142857143e-06,2.50365773809524,2000,32
"33",231,14.7497142857143,24.8022857142857,20.009875,361.214291666667,19.2542883428571,0.906251785714286,4.2989417989418e-06,1.93325595238095,2000,33
"34",238,12.8728571428571,20.1371428571429,16.3421130952381,363.20024702381,16.3670662285714,0.500247916666667,6.97751322751323e-05,2.46510119047619,2000,34
"35",245,11.7148571428571,19.4185714285714,15.3568928571429,359.271705357143,16.0301373428571,0.555317857142857,2.97619047619048e-06,2.23057738095238,2000,35
"36",252,9.71628571428571,14.0904285714286,11.7292886904762,360.292244047619,9.1080846,0.224018154761905,1.81878306878307e-05,3.74941964285714,2000,36
"37",259,13.3952857142857,20.2154285714286,16.55675,367.8669375,12.9956078571429,0.446925892857143,1.76917989417989e-05,2.1085625,2000,37
"38",266,7.89857142857143,13.4057142857143,10.0806547619048,370.016592261905,6.7864698,0.135766071428571,0,2.80587797619048,2000,38
"39",273,10.0014285714286,16.0171428571429,12.8952083333333,365.747452380952,10.8474976285714,0.27340744047619,3.30687830687831e-07,2.87482142857143,2000,39
"40",280,9.76285714285714,15.0128571428571,12.1935714285714,362.515116071429,8.52275288571428,0.255065773809524,6.11772486772487e-06,2.24197619047619,2000,40
"41",287,5.72285714285714,10.01,7.81592261904762,360.52518452381,5.75865617142857,0.179178571428571,2.3478835978836e-05,3.08702380952381,2000,41
"42",294,8.21285714285714,12.5714285714286,10.2162797619048,373.281541666667,5.31128571428571,0.179828571428571,1.19047619047619e-05,2.68719642857143,2000,42
"43",301,7.21857142857143,12.7085714285714,10.0426488095238,370.841949404762,6.04634194285714,0.254636607142857,1.35582010582011e-05,3.98966964285714,2000,43
"44",308,5.91714285714286,10.1414285714286,8.15241071428571,364.83325,3.31642594285714,0.216436607142857,3.63756613756614e-05,4.29019345238095,2000,44
"45",315,3.24714285714286,6.99571428571429,5.05693452380952,366.937705357143,3.82715202857143,0.160218154761905,1.04166666666667e-05,3.49588988095238,2000,45
"46",322,3.86428571428571,7.32857142857143,5.66366071428571,368.403958333333,3.129732,0.154694345238095,1.66997354497354e-05,3.17439583333333,2000,46
"47",329,2.90142857142857,6.4,4.56261904761905,369.145482142857,2.81562222857143,0.154636607142857,4.79497354497355e-06,3.32518452380952,2000,47
"48",336,3.61285714285714,7.72428571428571,5.60372023809524,371.845008928571,2.68623642857143,0.11014880952381,8.43253968253968e-06,3.3203244047619,2000,48
"49",343,4.55714285714286,8.57,6.2321130952381,377.384270833333,2.86464857142857,0.142346726190476,0,3.1555119047619,2000,49
"50",350,5.07,8.46,6.92205357142857,367.059866071429,1.88276374285714,0.182001488095238,1.93452380952381e-05,4.80077678571429,2000,50
"51",357,-4.46,-1.72714285714286,-2.92857142857143,375.741163690476,1.7456958,0.0368901785714286,4.46428571428571e-06,3.4408125,2000,51
"52",366,-3.28111111111111,0.211111111111111,-1.66034722222222,376.630467592593,2.0612248,0.0548375,1.76183127572016e-05,3.57940277777778,2000,52
"53",7,1.32285714285714,5.50285714285714,3.450625,367.040455357143,1.55942948571429,0.120066369047619,1.38888888888889e-05,3.89321428571429,2001,53
"54",14,-3.73857142857143,-0.984285714285714,-2.28502976190476,375.931511904762,1.84496914285714,0.0346580357142857,6.4484126984127e-06,2.59441369047619,2001,54
"55",21,-6.08571428571429,-1.89714285714286,-4.04625,384.718607142857,3.0332646,0.063272619047619,1.65343915343915e-07,2.13941369047619,2001,55
"56",28,0.802857142857143,4.66714285714286,2.47690476190476,371.008476190476,2.80967065714286,0.0907169642857143,1.70304232804233e-05,3.57259821428571,2001,56
"57",35,-3.66428571428571,-0.235714285714286,-1.82005952380952,374.774964285714,2.58199842857143,0.0399488095238095,3.04232804232804e-05,2.01239285714286,2001,57
"58",42,3.86857142857143,8.83571428571429,6.14386904761905,368.9701875,4.2548922,0.259366964285714,1.20701058201058e-05,3.90253571428571,2001,58
"59",49,1.36571428571429,6.89285714285714,4.07020833333333,372.144008928571,6.32048194285714,0.209209226190476,7.44047619047619e-06,2.6359880952381,2001,59
"60",56,-2.86142857142857,0.57,-1.05345238095238,371.710294642857,4.56417257142857,0.0859818452380952,1.33928571428571e-05,4.00507142857143,2001,60
"61",63,-3.32571428571429,0.938571428571429,-1.39154761904762,377.272360119048,6.71832797142857,0.1060625,1.66997354497354e-05,2.80431845238095,2001,61
"62",70,1.74285714285714,6.05428571428571,3.66571428571429,378.013678571429,6.35055428571429,0.104807142857143,1.22354497354497e-05,2.86144047619048,2001,62
"63",77,2.18,6.81571428571429,4.29678571428571,378.362672619048,4.75309157142857,0.101939880952381,4.53042328042328e-05,3.27791071428571,2001,63
"64",84,-1.65571428571429,4.99142857142857,1.41035714285714,378.818592261905,5.70487577142857,0.0848065476190476,6.38657407407407e-05,3.43363095238095,2001,64
"65",91,0.465714285714286,6.26285714285714,3.24758928571429,375.688244047619,8.96929122857143,0.205184523809524,7.27513227513228e-06,2.64323214285714,2001,65
"66",98,5.81,11.9785714285714,8.79857142857143,373.601389880952,11.7583230857143,0.400266666666667,1.43849206349206e-05,3.25725595238095,2001,66
"67",105,0.271428571428572,5.94571428571429,2.97389880952381,372.231666666667,12.0790154571429,0.17450744047619,1.85185185185185e-05,3.14764880952381,2001,67
"68",112,0.292857142857143,5.04571428571429,2.46116071428571,369.501092261905,9.20848577142857,0.164270535714286,1.19047619047619e-05,3.12709226190476,2001,68
"69",119,5.84428571428571,11.76,8.69464285714286,369.529044642857,12.5209195714286,0.327762797619048,1.5707671957672e-05,2.86790476190476,2001,69
"70",126,8.32142857142857,16.1214285714286,12.2039285714286,368.161666666667,15.8452539428571,0.424247619047619,2.79431216931217e-05,3.27984821428571,2001,70
"71",133,8.47714285714286,16.1957142857143,12.6133035714286,365.796223214286,21.9274482857143,0.559747619047619,9.92063492063492e-07,2.72220833333333,2001,71
"72",140,9.60285714285714,16.2628571428571,12.4618452380952,369.559910714286,17.9208244285714,0.490966071428571,1.42195767195767e-05,3.19353273809524,2001,72
"73",147,10.4357142857143,18.3628571428571,14.5883630952381,363.739633928571,24.8673844285714,0.81585,0,2.50522619047619,2001,73
"74",154,8.71285714285714,15.4942857142857,12.2323511904762,370.916636904762,15.9942502285714,0.415322619047619,9.92063492063492e-07,3.9728005952381,2001,74
"75",161,7.61285714285714,13.3242857142857,10.3178571428571,368.258017857143,13.7632790571429,0.289785119047619,1.53769841269841e-05,2.91235119047619,2001,75
"76",168,9.97857142857143,17.24,13.5368452380952,361.455523809524,20.3216837142857,0.486006547619048,1.32275132275132e-06,2.5845625,2001,76
"77",175,9.44571428571428,15.4828571428571,12.3765476190476,361.924526785714,17.1162874285714,0.407074404761905,1.32275132275132e-06,3.09836904761905,2001,77
"78",182,13.6042857142857,22.1185714285714,17.9933333333333,361.506657738095,22.4431930285714,0.703486607142857,3.63756613756614e-06,2.48339880952381,2001,78
"79",189,13.6914285714286,21.2542857142857,17.5838988095238,364.325592261905,22.6641003428571,0.674695238095238,0,3.21760119047619,2001,79
"80",196,11.5114285714286,18.1871428571429,14.7332738095238,362.821851190476,16.3767396857143,0.426585119047619,4.44775132275132e-05,3.33547321428571,2001,80
"81",203,11.3185714285714,17.7885714285714,14.4706547619048,357.756764880952,19.8549303428571,0.466729761904762,3.40608465608466e-05,2.61784821428571,2001,81
"82",210,18.07,25.3471428571429,21.6333928571429,360.824113095238,24.2620398,1.1688369047619,0,1.88016369047619,2001,82
"83",217,14.6928571428571,22.4142857142857,18.426755952381,363.878949404762,18.1188,0.722838690476191,3.30687830687831e-07,3.08803273809524,2001,83
"84",224,11.5371428571429,17.3571428571429,14.4450744047619,372.329035714286,14.4004798285714,0.399361607142857,1.58730158730159e-05,3.79447916666667,2001,84
"85",231,17.0985714285714,24.9228571428571,21.0767857142857,368.141892857143,17.815203,1.00788392857143,3.96825396825397e-06,2.72881845238095,2001,85
"86",238,17.42,24.8357142857143,21.0577083333333,365.248086309524,16.7105039142857,0.989506845238095,1.27314814814815e-05,2.10747321428571,2001,86
"87",245,10.4128571428571,18.5257142857143,14.4254464285714,363.796946428571,14.5203253714286,0.537158928571429,1.00859788359788e-05,2.93740476190476,2001,87
"88",252,8.63142857142857,13.0371428571429,10.5916666666667,363.314848214286,7.53496842857143,0.138962797619048,7.90343915343915e-05,4.21664880952381,2001,88
"89",259,7.93285714285714,10.68,9.15020833333333,363.625327380952,5.49424337142857,0.11500505952381,5.6712962962963e-05,4.101875,2001,89
"90",266,6.84714285714286,12.1042857142857,9.2135119047619,363.040196428571,8.80819585714286,0.198552380952381,1.30621693121693e-05,3.33213392857143,2001,90
"91",273,9.10285714285714,13.8285714285714,11.398125,368.1031875,7.02316362857143,0.18872380952381,1.5542328042328e-05,2.814875,2001,91
"92",280,11.0871428571429,16.4071428571429,13.6869047619048,388.688357142857,6.43244014285714,0.262452678571429,1.5542328042328e-05,3.2923244047619,2001,92
"93",287,10.3714285714286,16.6357142857143,13.3227083333333,388.984854166667,8.91671528571429,0.423248214285714,1.65343915343915e-06,3.8074494047619,2001,93
"94",294,8.79428571428571,13.23,11.0145535714286,391.860035714286,6.86401302857143,0.151203869047619,1.32275132275132e-06,2.24008333333333,2001,94
"95",301,8.30285714285714,11.3114285714286,9.69723214285714,379.185166666667,4.12870808571429,0.103077678571429,5.12566137566138e-06,3.12770535714286,2001,95
"96",308,5.46571428571429,10.1771428571429,7.88127976190476,374.783910714286,5.02618242857143,0.196731547619048,2.97619047619048e-06,4.19783630952381,2001,96
"97",315,-0.242857142857143,4.33714285714286,2.20895833333333,373.297952380952,3.32653602857143,0.108795833333333,3.88558201058201e-05,3.90941071428571,2001,97
"98",322,0.287142857142857,3.83714285714286,1.97714285714286,374.573357142857,3.67457708571429,0.0819994047619048,3.96825396825397e-06,2.20620535714286,2001,98
"99",329,1.05857142857143,3.65,2.3778869047619,370.91750297619,2.11170342857143,0.0666633928571429,9.25925925925926e-06,3.68752380952381,2001,99
"100",336,2.95571428571429,5.04142857142857,3.85744047619048,377.328232142857,1.08659905714286,0.0360467261904762,2.13293650793651e-05,2.93640773809524,2001,100
